program_code,program_name,catalog_id,course_title,credits,prereqs,coreqs,fees,attributes,description
BEN,Bioengineering,BEN 0331,Biomedical Signal Processing,3 Credits,CS 0131 or CS 0142 or SW 0407; MA 0146.,,,HSST Health Studies: Science and Technology,"This course presents an overview of different methods used in biomedical signal processing. Signals with bioelectric origin are given special attention and their properties and clinical significance are reviewed. In many cases, the methods used for processing and analyzing biomedical signals are derived from a modeling perspective based on statistical signal descriptions. The purpose of the signal processing methods ranges from reduction of noise and artifacts to extraction of clinically significant features. The course gives each participant the opportunity to study the performance of a method on real, biomedical signals."
BEN,Bioengineering,BEN 0332,Biomedical Imaging,3 Credits,BEN 0331 or CR 0331.,,,HSST Health Studies: Science and Technology,"This course presents the fundamentals and applications of common medical imaging techniques, for example: x-ray imaging and computed tomography, nuclear medicine, magnetic resonance imaging, ultrasound, and optical imaging. In addition, as a basis for biomedical imaging, introductory material on general image formation concepts and characteristics are presented, including human visual perception and psychophysics."
BEN,Bioengineering,BEN 0333,Biomedical Visualization,3 Credits,CS 0131.,,,,"This course is an introduction to 3-D biomedical visualization. Various technologies are introduced, including UltraSound, MRI, CAT scans, PET scans, etc. Students will learn about spatial data structures, computational geometry and solid modeling with applications in 3-D molecular and anatomical modeling."
BEN,Bioengineering,BEN 0390,Bioengineering Design Project I,3 Credits,Completion of all non-elective program courses; completion of other program requirements to enable graduation within the year of completion of BEN 0391.,,,,"In this capstone course, students work in teams on advanced projects that emphasize engineering design with due attention to design constraints and engineering standards. The overarching scope of this course is to transform engineering students to practicing engineers. Under the guidance of a faculty instructor and a mentor, each team conducts literature searches, write a technical proposal and its members develop skills in information analysis and synthesis; they model and test prototypes of their devices, and make frequent oral and poster presentations of their work to faculty and peers, and submit timely progress reports. In the process, they receive instruction in effective communication and presentation practices, and develop an appreciation of teamwork and collective success. This two-semester course begins in the fall of the academic year and concludes at the end of the spring term with a final team oral presentation and a final written report, and a working prototype of the team's project."
BEN,Bioengineering,BEN 0391,Bioengineering Design Project II,3 Credits,EG 0390.,,,,"In this capstone course, students work in teams on advanced projects that emphasize engineering design with due attention to design constraints and engineering standards. The overarching scope of this course is to transform engineering students to practicing engineers. Under the guidance of a faculty instructor and a mentor, each team conducts literature searches, write a technical proposal and its members develop skills in information analysis and synthesis; they model and test prototypes of their devices, and make frequent oral and poster presentations of their work to faculty and peers, and submit timely progress reports. In the process, they receive instruction in effective communication and presentation practices, and develop an appreciation of teamwork and collective success. This two-semester course begins in the fall of the academic year and concludes at the end of the spring term with a final team oral presentation and a final written report, and a working prototype of the team's project."
AR,Arabic,AR 0110,Elementary Modern Standard Arabic I,3 Credits,,,,,"The first course, the first of a two-semester sequence, teaches the essentials of phonology, script, structure, and usage, allowing students to acquire the skills of listening, speaking, reading, and writing in the standard means of communicating in the Arab world. Teaching is proficiency-based, implying that all activities within the courses are aimed at placing student learners in the context of the native-speaking environment."
AR,Arabic,AR 0111,Elementary Modern Standard Arabic II,3 Credits,AR 0110.,,,,A continuation of
AR,Arabic,AR 0210,Intermediate Modern Standard Arabic I,3 Credits,AR 0111.,,,,"This course, the first in a two-semester sequence, continues to build upon the skills acquired in the first-year course. Emphasis will be placed upon improving grammar, listening comprehension, and speaking and reading skills. Students will gain confidence in conversing with native speakers on a variety of topics, will be able to write more complex texts on everyday themes, and will acquire the skills to read uncomplicated authentic texts, such as newspaper articles on familiar topics."
AR,Arabic,AR 0211,Intermediate Modern Standard Arabic II,3 Credits,AR 0210.,,,,A continuation of
AR,Arabic,AR 0215,Intermediate Intensive Modern Standard Arabic,6 Credits,AR 0111.,,,,"This intensive second-year course is designed to build upon skills of listening, speaking, reading and writing developed in earlier elementary courses. Students will acquire a broader range of vocabulary and be introduced to more complex grammatical structures. Students will learn to recognize and understand a wider range of cultural and linguistic components. Students will also increase their proficiency in Arabic script and sound system, and practice more conversation and dictation. Weekly Oral Practice Sessions (OPS) are mandatory."
AR,Arabic,AR 0220,Advanced Modern Standard Arabic I,3 Credits,AR 0211 or AR 0215.,,,,"This course will continue to build on work completed through the intermediate level. Emphasis will be placed upon mastering more advanced grammar, and speaking, listening and reading skills at an Advanced-Low level. Students will gain more confidence in conversing with native speakers on a variety of topics. The course will lead students towards a fairly comprehensive understanding of Arabic language features through the study of a variety of documents (written, audio and video). The selection of documents will also serve as a basis for discussion on some social issues regarding the contemporary Arabic-speaking world, as well as the history and cultural backgrounds. Students are required to attend one weekly one-hour Oral Practice Session (OPS)."
AR,Arabic,AR 0381,Coordinating Seminar,3 Credits,,,,,"Students undertake readings and studies in a specialized area of Arabic language and culture, under the direction of a staff member. Designed to fill the special needs of specific students, this course is offered at the discretion of the department chair."
AR,Arabic,AR 0382,Coordinating Seminar,3 Credits,,,,,"Students undertake readings and studies in a specialized area of Arabic language and culture, under the direction of a staff member. Designed to fill the special needs of specific students, this course is offered at the discretion of the department chair."
AY,Anthropology,AY 0010,Introduction to Four-Field Anthropology,3 Credits,,,,WDIV World Diversity,"Who are we, where do we come? Why is life unfair, and why do intolerance, poverty and inequality persist? Anthropologists hold no monopoly on truth or explanation, but they do employ a wide range of methods to explore what it means to be human. In this introductory anthropology course we survey the four sub-fields that comprise this multi-disciplinary science: biological anthropology, archaeology, sociocultural anthropology, and linguistics. Over the course of the semester, we will explore what anthropology and its sub-fields contribute to our understanding of ourselves, our histories, and our world."
AY,Anthropology,AY 0052,Culture and Political Economy,3 Credits,,,,,"This course examines the ways in which global political economic dynamics impact local cultures. Students will begin with classic texts in social theory, examine how this theory informs contemporary debates, and look to small-scale societies in the Global South for an intimate, ethnographic perspective of our global era."
AY,Anthropology,AY 0110,Biological Anthropology,3 Credits,,,,,"The study of natural selection, primate evolution, and living primate societies provides a baseline from which to study the evolution of the human species. The course also traces human cultural and social development from the foraging bands of the first humans to the civilizations that appeared at the dawn of written history. Students also examine physical variation among living populations. This course meets the core natural science requirement and not the social science requirement."
AY,Anthropology,AY 0111,Cultural Anthropology,3 Credits,,,,WDIV World Diversity,"Why is there such variety in the way people live, dress, speak, eat, love and fight? This course explores the shared patterns of thought, behavior, and feelings - that is, the cultures - of a number of peoples and presents explanations for the forms they take and the differences between them. The course helps students develop a new perspective on the values and institutions of Western culture."
AY,Anthropology,AY 0115,Biomedical Anthropology,3 Credits,,,,HSSS Health Studies: Social Science,"This seminar-style class explores biological anthropology to examine the dynamic relationship between health, biology, and culture. Across cultures, geography, and time, we uncover the underlying processes that inhibit or enhance human health. From the biology of stress to the eradication of tuberculosis and Ebola, we'll see biological anthropology's invaluable contributions to modern medicine, public health, and global health management. Students will learn theoretical and applied approaches to understand the evolution and ecology of disease; human development and metabolism; and sexuality and gender; as well as health policy and medical practice (in terms of cultural universals, differences, and disparities). This course meets the core natural science requirement and not the social science requirement."
AY,Anthropology,AY 0130,Cultures of Africa,3 Credits,,,,"BSFC Black Studies Focus Course, BSSS Black Studies: Social and Behavioral Sciences, WDIV World Diversity","This course explores the wealth of cultural traditions and histories from Africa. It begins with an abridged review of African history from the dawn of humankind to 21st century challenges and achievements. Then the focus shifts to regional case studies through African literature, film, and music. For the final segment of the class, students conduct and present original research on the cultural dynamics of critical issues facing contemporary Africans. Students learn and practice research methods in African Studies and Anthropology."
AY,Anthropology,AY 0135,Refugees and Culture in the Modern World,3 Credits,Junior standing.,,,WDIV World Diversity,"This course provides students with an overview of refugee movements with a focus on cultural encounters across the world. Students will focus on the social integration and identity adjustments of refugees in their host communities and/or country. The course will also allow students to learn about cultural adjustments of both refugees and host communities whether it is in the United States, Europe, Middle East, or Africa. Students will explore how features of the specific societies serve to inhibit or augment cultural adjustments and meet the new needs and realities of populations in movement."
AY,Anthropology,AY 0140,Anthropology of Latin America and the Caribbean,3 Credits,,,,WDIV World Diversity,"This course examines cultural diversity in Latin America and the Caribbean. Adopting a cross-cultural, anthropological perspective the course examines Latin American and Caribbean societies before European contact, as well as the processes of conquest and colonialism. Special consideration is give to gender and gender relations, race and ethnicities, religion and religiosity, health and folk medicine, food and food cultures, globalization, tourism and trade, poverty and inequality, labor, popular culture, music, violence and security, social movements, people and the environment, and migration."
AY,Anthropology,AY 0145,Anthropology of Food,3 Credits,,,,,"The way humans make and consume food shapes our lives and transforms our world. From our hunter-gatherer past to your family's most recent holiday dinner, in this course we explore the relationship between food, society, and our environment. Through cross-cultural, historical, and ecological studies, the anthropology of food reveals fascinating patterns of cooperation, inequality, and human diversity. The class is divided into three parts: making food (food production), eating food (food consumption), and being food (relationship between food and identity). Our semester includes three feast days and an off-campus field trip."
AY,Anthropology,AY 0152,Islamic Societies and Cultures,3 Credits,,,,WDIV World Diversity,"This is an anthropological inquiry into a number of Muslim societies. This course investigates the cultural, ethnic, and linguistic diversity within Muslim societies, while seeking to understand what they have in common with each other and with their non-Muslim neighbors."
AY,Anthropology,AY 0163,Culture and Inequality,3 Credits,,,,PJST Peace and Justice Studies,"This course focuses on the concepts of ""culture"" and ""inequality,"" two terms employed to deal with ""difference"" in a range of intriguingly different and morally charged ways. The course explores recent work in anthropology, economics, and sociology using culture and/or inequality as a lens through which to view various issues in contemporary social theory. In the process, students work to discover what kind of lens culture and/or inequality provides, how our implicit understandings of these ideas shape how we think about the world, and how we might better use such ideas to do our thinking."
AY,Anthropology,AY 0168,"Sex, Gender, and Sexual Orientation",3 Credits,,,,"WDIV World Diversity, WSGF Women, Gender, and Sexuality Studies: Gender Focused","Through a comparison of selected Asian, Middle Eastern, African, and Native American societies, this course explores the ways that culture can mold the biological facts of sexual difference into socially accepted behavior, creating two, and sometimes more, genders. Topics include the allocation of work, power, and prestige between men and women; the belief systems that legitimate gender roles; and some possible causes for the wide variation that exists among cultures."
AY,Anthropology,AY 0175,Sustainable Development: Anthropological Perspectives,3 Credits,,,,"EVME Environmental Studies Major Elective, EVPE Environmental Studies Elective","This course examines the concept of sustainability from anthropological perspectives. With a focus on the contested meaning of both ""sustainability"" and ""development,"" students will grapple with various theoretical, methodological, and ethical perspectives on how to build a just future on a planet with finite resources. Learning is practice driven; students write blogs and reflective essays, they learn ethnographic research methods, and pursue independent research on sustainability in our campus community. Students integrate experiential learning with readings on ecology and economic development to critically examine the values, assumptions and data that underpin different perspectives on social change and the future of humankind."
AY,Anthropology,AY 0180,Grant Writing for the Social Sciences,3 Credits,,,,"EVAP Environmental Studies: Applied Professional Skills , EVPE Environmental Studies Elective, HASM Humanitarian Action Minor Skills/Method Course","This course will introduce students to the practicalities of international research, with particular emphasis on qualitative social science methods and the eventual aim of producing a viable grant proposal. The course will be taught from an anthropological perspective, but the skills developed should be broadly applicable to the social sciences and humanities."
AY,Anthropology,AY 0189,Theory and Practive in Anthropology,3 Credits,,,,,"This course focuses on of the production of ethnographic knowledge, a form of intellectual inquiry at once art and science, evocation and explication. Emerging in the 20th century as the preeminent form of anthropological expression, ethnographies are one of the few scholarly means of understanding other cultures and societies in meaningful depth. At the same time, ethnographies reveal as much about the disciplines and societies in which they are produced as they do about distant ""others."""
AY,Anthropology,AY 0199,Philosophy and Economic Anthropology,3 Credits,PH 0101.,,,PMMP Philosophy Major: Major Philosopher,"This course examines the economy from philosophical and anthropological perspectives. We will investigate why people produce and exchange things, why they seek to amass things in some circumstances and give them away in others, and how our modern understandings of value, debt, and rationality emerged."
AY,Anthropology,AY 0200,Anthropological Research Methods,3 Credits,,,,HASM Humanitarian Action Minor Skills/Method Course,"How does anthropological field research help us understand our lives, our communities, and our world? How might anthropological research methods help you explore and pursue your own passions or professional ambitions? In this course students conduct original anthropological field research, write an original journal article manuscript, and they develop an online portfolio to share results and conclusions beyond our classroom. Over the course of our semester, students learn and practice techniques for designing, proposing, conducting, analyzing, and sharing anthropological field research. The class is divided into four sections: Developing Your Research Question, Your Anthropology Toolkit, Anthropological Analysis and Writing, and a final Research Symposium."
AY,Anthropology,AY 0390,Special Topics (Shell),3 Credits,,,,,Special Topics in Anthropology provides an opportunity for students and faculty to explore compelling themes that are not covered in the department's regular course rotation and curriculum.
AY,Anthropology,AY 0390C,Special Topics: Anthropology and Education,3 Credits,,,,,"This course addresses key topics in anthropology and education including: the study of schools and school systems, informal education, cross-cultural early childhood education, race, class, and the production/reproduction of inequality, (dis)ability, communication, and technology. Course readings focus on classic and contemporary anthropology and education texts including philosophies of education, ethnographies, and accounts of informal education in families, neighborhoods, and communities. Course requirements will be student-driven to expand upon and enhance research interests in a collaborative environment."
AY,Anthropology,AY 0399,Independent Study,1-3 Credits,,,,,"Independent studies experiences provide intellectually curious students with opportunities to take the reins of their education, and delve deeply into the ideas and subjects that truly inspire them.  Upon request and by agreement of an individual professor in the department, students undertake a one-semester independent study on a defined research topic in anthropology."
AS,American Studies,AS 0200,Roots of American Culture,3 Credits,One American Studies Gateway course.,,,,"This course provides an introduction to the study of American culture. In familiarizing students with the variety of interdisciplinary ways to approach American Studies, students will examine the diverse experiences, intellectual traditions, and cultural touchstones that make American life a rich and fascinating object of study. Using a variety of sources, students will survey the following themes: race, ethnicity and immigration; expression and imagination; values and ethics; gender; institutional power and politics; and America as a global identity."
AS,American Studies,AS 0201,The American Intellectual Tradition,3 Credits,,,,,"A seminar on major ideas and themes that have helped shape American life, this course makes a conscious effort to demonstrate the interaction between intellectual, social, and cultural dynamics in the formation of America."
AS,American Studies,AS 0350,Internship,1-3 Credits,,,,,"The internship program allows students to gain on-site access experience in a wide variety of fields, including, but not limited to, law, marketing, magazine publishing. These positions are available upon recommendation of the program intern supervisor, under whose guidance the students assume the jobs, which require 10-15 hours a week. Students may take one internship for credit toward the American Studies major. Students may take a second internship for elective credit. Enrollment by permission of the program intern supervisor only."
AS,American Studies,AS 0361,American Civil War: Myth and Reality,3 Credits,,,,ASHI American Studies: History,"This course exposes students to an interdisciplinary method of learning. While using standard historical texts to establish the facts regarding the American Civil War, this course explores the sometimes confusing and contradictory versions of the Civil War as depicted in literature, photography, feature films, documentary films, music, painting, and other modes of expression."
AS,American Studies,AS 0383,America in the 1930s: A Decade of Change,3 Credits,,,,ASHI American Studies: History,"The Great Depression represents the catalytic agent in America's extraordinary transformation in the 1930s, a decade during which the changes in the economic and political sectors provided the matter for American cultural life. This course acquaints students with the complexities of this pivotal period in American life through feature films and documentaries, popular and serious fiction, the American theatre of the time, popular music, public and private art, and mass circulation and little magazines, while introducing them to an interdisciplinary methodology."
AS,American Studies,AS 0389,Literature and Religion: The American Experience,3 Credits,,,,,"This course surveys the relationship of literature to religion in the history of American letters. Beginning with the moral didacticism of early Puritan literature, American writers have manifested a persistent concern with religio-ethical matters as well as with the impact of religious institutions in shaping our social and cultural environment. Using literary texts by major American writers, the course evaluates the critical perspective and relevance of the imaginative writer's treatment of religious questions."
AS,American Studies,AS 0399,Independent Research Project,3 Credits,,,,,"During their senior year, each American studies major writes a research paper under the supervision of several participating faculty members. Students integrate different intellectual disciplines in the design and execution of their projects."
AS,American Studies,AS 0400,Critical Issues in American Studies,3 Credits,,,,,"This graduate seminar provides an introduction to the field of American Studies. Using key books and essays in American Studies, students will familiarize themselves with the diverse cultural and intellectual traditions that have created the American experience. Using interdisciplinary approaches, students will survey the following themes in American society and culture: race, ethnicity and immigration; expression and imagination; values and ethics; gender; institutional power and politics; and America and the world."
AS,American Studies,AS 0404,American Studies Graduate Project,3 Credits,,,,,"The culminating component of the MA program is the Graduate Project. With the guidance of a faculty mentor, the student undertakes a major research project focused on an approved American Studies topic. The faculty mentor and student will choose a second faculty reader from another discipline within the American Studies Program. At the outset, the student will register for AS 404 with the faculty mentor and will provide a proposal and preliminary bibliography. The project carries three credits and usually is completed over the course of one semester. Specific guidelines are distributed by the Graduate Program Director."
AS,American Studies,AS 0410,Introduction to Women's and Gender Studies,3 Credits,,,,,"This course introduces students to the theories and concepts of the interrelated fields of Women's Studies and Gender Studies, Masculinity Studies, and Sexuality/Queer Studies. We will discuss the development of these fields, their application in various disciplines, and their importance in American Studies. The course uses theoretical readings, novels, and popular films to explore aspects of gender studies in everyday life."
AS,American Studies,AS 0415,Civil Liberties I,3 Credits,,,,,"This course examines the freedoms afforded by the Constitution and the Bill of Rights and the role of the federal courts, especially the Supreme Court, in protecting individual rights. It focuses on such areas of law as freedom of speech and press, freedom of religion, and the right to privacy. Particular attention is paid to the equal protection and due process clauses of the Fourteenth Amendment and the relationship to such issues as school desegregation, voting rights, affirmative action, and criminal procedure."
AS,American Studies,AS 0416,Civil Liberties II: Criminal Justice,3 Credits,,,,,"This course examines the investigatory and adjudicatory processes of the American criminal justice system. The course begins with a brief introduction to criminal law, its sources, and development. It then moves to an analysis of the evolutionary development of due process focusing on the right to counsel, search, and seizure, the role of the police in interrogations, confessions, and investigations. The focus then shifts to an examination of the criminal trial and the respective roles of prosecutor, defense attorney, judge, and jury. Attention is also given to the issues of bail and ""plea-bargaining."" The course concludes with an analysis of the goals of punishment, the Eighth Amendment, and the function of the correctional system."
AS,American Studies,AS 0450,Supreme Court in the 1960s,3 Credits,,,,,"This course analyzes the dynamics of the Earl Warren Supreme Court and its impact on American society through decisions on such issues as reapportionment, right to privacy, school prayer, libel, and civil rights. The course examines major criminal rights decisions of the Court such as search and seizure, self-incrimination, and the right to counsel, and considers the impact of these decisions on subsequent cases and current issues related to the cases."
AS,American Studies,AS 0453,American Popular Entertainments and Social History,3 Credits,,,,,"Popular entertainments have great power. ""They tell us what is on the minds of ordinary people at any given moment - their concerns, biases and anxieties - and in turn refine them and restate them in a palatable, easily understood way,"" wrote Professor Emeritus Brooks McNamara of New York University of this new field of scholarly inquiry that plumbs America's popular entertainments as a means of understanding its social history. This course will examine critical live entertainment forms that flourished in the years between the conclusion of the Civil War and the end of the 1920s largely due to increased leisure time, improved transportation, and rapidly developing cities. Popular entertainment -- amusements aimed at a broad, relatively unsophisticated audience -- were frequently American reinventions of European imports, such as the circus, while others, like the Minstrel Show, were uniquely American creations. We will begin the course with an intensive look at the Minstrel Show as a key to the solidification and perpetuation of American racist stereotypes and then consider Circus, the Wild West Show, Vaudeville, Burlesque, Medicine Show, Chautauqua, and popular dramas such as Toby, Tab, and Tom shows, as manifestations of American society of the late 19th and early 20th centuries."
AS,American Studies,AS 0461,The American Civil War,3 Credits,,,,,"This course employs the interdisciplinary method of learning in examining the American Civil War. While using standard historical texts to establish the facts regarding the War, the course focuses on the sometimes confusing and contradictory versions of the War depicted in literature, photography, feature films, documentary films, and other modes of expression."
AS,American Studies,AS 0479,Islam in America,3 Credits,,,,,"The course treats the history of Muslims in America from the early 19th century to the present. Topics include: the basic tenets of Islam; changing and diverse religious traditions and ideas; Islam among African-Americans; the role of women; concerns about prejudice and unfair treatment; and political views and practice before and after the September 11, 2001 terrorist attacks."
AS,American Studies,AS 0483,America in the 1930s: A Decade of Change,3 Credits,,,,,"The Great Depression represents the catalytic agent in America's extraordinary transformation in the 1930s, a decade during which the changes in the economic and political sectors provided the matter for American cultural life. This course acquaints students with the complexities of this pivotal period in American life through feature films and documentaries, popular and serious fiction, the American theatre of the time, popular music, public and private art, and mass circulation and little magazines, while introducing them to an interdisciplinary methodology."
AS,American Studies,AS 0484,Battle Over Family Values in American Politics,3 Credits,,,,,"The course examines family as an evolving American political and cultural ideal and investigates changes and continuities in American family politics through the twentieth century. It explores the causes, implications, and contexts for the rise of numerous political debates that have centered on the American family such as welfare and anti-poverty policies, LGBT rights, contraception and abortion, and immigration. It also familiarizes students with multiple forms of social scientific writing, methods of research design and original data gathering."
JA,Japanese,JA 0110,Elementary Japanese I,3 Credits,,,,,"Designed for students with no prior experience with Japanese or whose placement scores are in the range for this course level. This course, the first in a two-semester sequence, teaches the essentials of pronunciation, structure, and usage, allowing students to acquire the skills of listening, speaking, reading, and writing. Language cultures are explored through a variety of media. Students attend three classes per week and do mandatory online work determined by the instructor."
JA,Japanese,JA 0111,Elementary Japanese II,3 Credits,JA 0110.,,,,"This course, a continuation of "
AH,Art History,AH 0010,Origins and Transformations in Western Art,3 Credits,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","From the mysterious depths of Paleolithic cave painting to the soaring heights of Gothic cathedral vaulting, this course surveys the early history of Western art. The course begin with the origins of art-making in prehistoric, Mesopotamian, Egyptian, Greek, and Roman cultures before viewing the transformations of these ancient arts traditions in early Christian and medieval societies. The course offers students a working vocabulary with which to compose visual analyses of works of art and evaluate them in a social and historical context. One class takes place at the Metropolitan Museum of Art in New York City."
AS,American Studies,AS 0486,"Health and Healing in America, 1650 to 2000",3 Credits,,,,,"This seminar explores the idea of America through the lens of major themes in the history of health and medicine from the colonial era to contemporary America. Students will consider the changing American identity from the colonial era to the present as they engage with cultural artifacts evocative of a population grappling with the health and diseases in a land new to Europeans, medicine and health in the age of science and industrialization, and medicine and health in an age of technology."
AS,American Studies,AS 0488,Frontier in American Culture,3 Credits,,,,,"The frontier -- traditionally understood as the place where ""humanity"" comes into contact with its apparent absence in the shape of alien beings and landscapes -- has been the subject of some of the most lasting powerful stories in the formation of U.S. national identity. The purpose of this course is to investigate the ideological underpinnings of this myth and its consequences, as well as to explore alternative conceptulizations of the frontier, particularly as a ""rhizomatic"" space where cultures meet and grapple with one another. Materials for the course are drawn from literature, film, painting, photography, and popular culture."
AS,American Studies,AS 0499,Independent Study,3 Credits,,,,,Students arrange for independent study with a professor willing to serve as a tutor and under whose direction they will write a research paper of approximately fifty pages. This project should be completed in one semester. All independent study must have the approval of the program director. Students may take only one independent study toward the MA degree.
AS,American Studies,ASAH 0441,Fine Art vs. Anti-Art: 1917 to 1967,3 Credits,,,,,"Dr. Wayne Craven writes in American Art: History and Culture, ""As the new century opened America was a nation in transition, and ripe for many kinds of revolutions - in politics, social systems, and certainly in literature and painting. [These] social shifting values and forces were occurring within American society at large."" Focusing on the 50 years from WWI to Vietnam, this class examines the artistic debates and ideological struggles manifested by American art. During this time, there is a shifting barometric needle of stylistic expression. On one side, we see an entrenched, traditionalist school that retains the noble beaux arts criteria for realism and classical content. Artists to be studied in this school are: Henri, Sloan, Hopper, Marsh, Cadmus, Benton, Curry, Wood, Sheeler, Demuth and Wyeth. On the other side of the aesthetic spectrum, we encounter rebels leading the avant-garde. Sparked by the new ""isms"" of European modernism, artists to be discussed include: Duchamp, Stella, Dove, O'Keeffe, Gorky, Pollock, Rothko, Frankenthaler, De Kooning, Motherwell. The culmination and convergence of these parallel tracks arrive with the neo-realist but equally avant-gardist Pop art movement of the 1960s. Warhol, Rosenquist, Johns, and Wessleman use hard-edge realism to convey anti-establishment parodies and camp spin-offs of high culture. The period between 1917-1967 becomes, then, the pivotal shift when traditionalism is converted into a new cultural paradigm ending modernism as a distinct period."
AS,American Studies,ASAH 0444,American Visual Art History,3 Credits,,,,,"This class focuses on a selection of American Masters who came to define the American experience as visual innovators reflecting and transforming their times. Among the artists explored are: Thomas Cole, Winslow Homer, John Sloan, Frank Lloyd Wright, Georgia O'Keefe, Edward Hopper, Jacob Lawrence, Lee Krasner, Jackson Pollock, Andy Warhol, and Judy Chicago. Each artistic biography is presented as a filtered lens through which America's social, political, literary and economic themes are manifested in painterly expressions. Within this cultural framework, we examine the creative spirit of each age in the American experience. The course combines classroom illustrated slide lectures, discussions, and field trips to study on-site major collections of American art at museums including: The Yale University Art Gallery, Wadsworth Atheneum, New Britain Museum of American Art, Metropolitan Museum of Art, and Whitney Museum of American Art."
